shot_id,filename,begin_frame,face_1,face_2,face_3,notes,b_frame,duration,end_frame,frames
1,camera shots_Sub_01,00:00:00:00,mod_f,mod_m,NA,NA,2022-10-24 00:00:00,7.04999995231628,2022-10-24 00:00:07,180
2,camera shots_Sub_02,00:00:07:05,NA,NA,NA,intro,2022-10-24 00:00:07,11.1600000858307,2022-10-24 00:00:18,291
3,camera shots_Sub_03,00:00:18:21,mod_f,mod_m,NA,NA,2022-10-24 00:00:18,1.78999996185303,2022-10-24 00:00:20,29
4,camera shots_Sub_04,00:00:20:00,mod_f,mod_m,NA,NA,2022-10-24 00:00:20,13.0999999046326,2022-10-24 00:00:33,335
5,camera shots_Sub_05,00:00:33:10,mod_f,mod_m,NA,NA,2022-10-24 00:00:33,3.07000017166138,2022-10-24 00:00:36,82
6,camera shots_Sub_06,00:00:36:17,mod_m,NA,NA,NA,2022-10-24 00:00:36,10.9099998474121,2022-10-24 00:00:47,266
7,camera shots_Sub_07,00:00:47:08,mod_f,mod_m,NA,NA,2022-10-24 00:00:47,2.98000001907349,2022-10-24 00:00:50,73
8,camera shots_Sub_08,00:00:50:06,mod_f,NA,NA,NA,2022-10-24 00:00:50,11.1600000858307,2022-10-24 00:01:01,291
9,camera shots_Sub_09,00:01:01:22,mod_f,mod_m,NA,NA,2022-10-24 00:01:01,2.99000000953674,2022-10-24 00:01:04,74
10,camera shots_Sub_10,00:01:04:21,mod_f,mod_m,NA,NA,2022-10-24 00:01:04,5.96000003814697,2022-10-24 00:01:10,146
11,camera shots_Sub_11,00:01:10:17,Marijnissen,NA,NA,NA,2022-10-24 00:01:10,10.8899998664856,2022-10-24 00:01:21,264
12,camera shots_Sub_12,00:01:21:06,mod_f,mod_m,NA,NA,2022-10-24 00:01:21,4.10000014305115,2022-10-24 00:01:25,110
13,camera shots_Sub_13,00:01:25:16,Klaver,NA,NA,NA,2022-10-24 00:01:25,6.92999982833862,2022-10-24 00:01:32,168
14,camera shots_Sub_14,00:01:32:09,mod_f,mod_m,NA,NA,2022-10-24 00:01:32,5.01999998092651,2022-10-24 00:01:37,127
15,camera shots_Sub_15,00:01:37:11,Kaag,NA,NA,NA,2022-10-24 00:01:37,9.09000015258789,2022-10-24 00:01:46,234
16,camera shots_Sub_16,00:01:46:20,mod_f,mod_m,NA,NA,2022-10-24 00:01:46,2.80999994277954,2022-10-24 00:01:49,56
17,camera shots_Sub_17,00:01:49:01,mod_f,mod_m,NA,NA,2022-10-24 00:01:49,2.05999994277954,2022-10-24 00:01:51,56
18,camera shots_Sub_18,00:01:51:07,Hoekstra,NA,NA,NA,2022-10-24 00:01:51,7.97000002861023,2022-10-24 00:01:59,197
19,camera shots_Sub_19,00:01:59:04,mod_f,mod_m,NA,NA,2022-10-24 00:01:59,3.19000005722046,2022-10-24 00:02:02,94
20,camera shots_Sub_20,00:02:02:23,Wilders,NA,NA,NA,2022-10-24 00:02:02,8,2022-10-24 00:02:10,200
21,camera shots_Sub_21,00:02:10:23,mod_f,mod_m,NA,NA,2022-10-24 00:02:10,3.90000009536743,2022-10-24 00:02:14,90
22,camera shots_Sub_22,00:02:14:13,mod_f,mod_m,NA,NA,2022-10-24 00:02:14,3.02999997138977,2022-10-24 00:02:17,78
23,camera shots_Sub_23,00:02:17:16,Rutte,NA,NA,NA,2022-10-24 00:02:17,8.05999994277954,2022-10-24 00:02:25,206
24,camera shots_Sub_24,00:02:25:22,NA,NA,NA,groupshot,2022-10-24 00:02:25,7.91000008583069,2022-10-24 00:02:33,191
25,camera shots_Sub_25,00:02:33:13,mod_f,NA,NA,NA,2022-10-24 00:02:33,2.87999987602234,2022-10-24 00:02:36,63
26,camera shots_Sub_26,00:02:36:01,NA,NA,NA,groupshot,2022-10-24 00:02:36,6,2022-10-24 00:02:42,150
27,camera shots_Sub_27,00:02:42:01,Wilders,NA,NA,NA,2022-10-24 00:02:42,2.20000004768372,2022-10-24 00:02:44,70
28,camera shots_Sub_28,00:02:44:21,mod_m,NA,NA,NA,2022-10-24 00:02:44,2.95000004768372,2022-10-24 00:02:47,70
29,camera shots_Sub_29,00:02:47:16,Marijnissen,NA,NA,NA,2022-10-24 00:02:47,3.89999985694885,2022-10-24 00:02:51,90
30,camera shots_Sub_30,00:02:51:06,Rutte,NA,NA,NA,2022-10-24 00:02:51,2.16000008583069,2022-10-24 00:02:53,66
31,camera shots_Sub_31,00:02:53:22,group,NA,NA,NA,2022-10-24 00:02:53,3.00999999046326,2022-10-24 00:02:56,76
32,camera shots_Sub_32,00:02:56:23,Klaver,NA,NA,NA,2022-10-24 00:02:56,3.94000005722046,2022-10-24 00:03:00,94
33,camera shots_Sub_33,00:03:00:17,Rutte,NA,NA,NA,2022-10-24 00:03:00,3.83999991416931,2022-10-24 00:03:04,84
34,camera shots_Sub_34,00:03:04:01,Marijnissen,NA,NA,NA,2022-10-24 00:03:04,3.09999990463257,2022-10-24 00:03:07,85
35,camera shots_Sub_35,00:03:07:11,mod_m,NA,NA,NA,2022-10-24 00:03:07,3.98000001907349,2022-10-24 00:03:11,98
36,camera shots_Sub_36,00:03:11:09,Hoekstra,NA,NA,NA,2022-10-24 00:03:11,3.06000018119812,2022-10-24 00:03:14,81
37,camera shots_Sub_37,00:03:14:15,Kaag,NA,NA,NA,2022-10-24 00:03:14,2.96999979019165,2022-10-24 00:03:17,72
38,camera shots_Sub_38,00:03:17:12,mod_m,NA,NA,NA,2022-10-24 00:03:17,4.1100001335144,2022-10-24 00:03:21,111
39,camera shots_Sub_39,00:03:21:23,Hoekstra,NA,NA,NA,2022-10-24 00:03:21,2.90000009536743,2022-10-24 00:03:24,65
