frame,time,face_box,face_prob,face_landmarks,face_aus,face_id
0,0.0,[372.97443 130.45526 565.2766  367.94275],0.998784601688385,"[[381.61750516 236.88162395]
 [382.09251061 258.36084324]
 [385.1776606  281.01013124]
 [391.18392405 303.89628172]
 [399.68619318 325.00850391]
 [412.12454039 343.53053582]
 [428.43028408 358.35241586]
 [447.72272831 369.44315076]
 [471.95509702 371.35771227]
 [498.52747923 366.27977061]
 [524.82838452 354.69887096]
 [548.55204207 339.07924777]
 [566.97002411 318.34866565]
 [577.14105296 292.73546427]
 [580.17000955 264.2934202 ]
 [579.24255174 235.72411227]
 [576.82065594 207.58616999]
 [382.8170113  204.99909142]
 [389.86520875 196.21534586]
 [401.93149543 193.07738268]
 [415.29441935 193.98687926]
 [427.86637431 197.97010815]
 [462.76383317 190.13648708]
 [477.59985363 181.70556377]
 [495.07119811 176.57828896]
 [513.53573203 177.41522807]
 [530.284648   184.43871763]
 [446.57249337 219.96890897]
 [446.86980033 234.56386751]
 [446.84620082 248.50027731]
 [446.72930479 262.87948763]
 [435.0338842  283.0145058 ]
 [443.62199068 284.90225971]
 [453.17082697 285.2162956 ]
 [464.0747554  281.71665692]
 [474.67803109 277.82703435]
 [398.55766456 233.66471121]
 [407.59935932 228.93727177]
 [418.45892853 227.40663594]
 [429.81400129 230.31532317]
 [419.26844388 235.03899688]
 [408.5806492  236.55887938]
 [480.2543574  222.97261381]
 [490.30647999 216.64355415]
 [501.95280838 215.23127383]
 [514.95075232 217.21931875]
 [503.46093243 222.70058614]
 [491.863056   224.43660927]
 [426.88403457 319.11116099]
 [436.94241503 311.13667607]
 [447.78728274 305.57607359]
 [456.60630363 306.53379494]
 [466.31550366 302.84124339]
 [483.50303447 304.37778598]
 [502.63209963 307.07482117]
 [486.41713279 317.90678763]
 [470.85595763 324.04946077]
 [459.9762896  326.40737355]
 [450.14582199 326.98094893]
 [438.90193814 325.06553376]
 [431.78384402 318.93799239]
 [448.53158966 315.08142841]
 [457.65855381 314.70744371]
 [467.94961795 312.31476504]
 [497.71887261 308.00510156]
 [468.56738389 313.17395777]
 [458.36123115 315.38303119]
 [449.24724397 315.92577851]]","[1.5461572e-01 8.9073801e-01 1.6044846e-02 7.9956979e-01 9.1970897e-01
 3.8642415e-01 9.1870493e-01 9.2644215e-01 1.3615173e-01 4.1602617e-03
 8.6741587e-03 9.0144087e-05]",4.0
1,0.04,[375.10837 128.2731  568.39514 369.58038],0.9986359477043152,"[[383.64435732 236.83170992]
 [383.95853941 258.39657736]
 [387.03053896 281.09286278]
 [393.03921106 304.03076959]
 [401.47614118 325.24512076]
 [413.81714943 343.87125677]
 [430.11768317 358.70083463]
 [449.40459767 369.69239902]
 [473.64212555 371.57123506]
 [500.30301249 366.5268507 ]
 [526.91027832 355.23539138]
 [551.04708433 340.03222948]
 [569.88537163 319.61494553]
 [580.49599141 294.15199953]
 [583.90336943 265.66121745]
 [583.08415103 236.97250527]
 [580.67358965 208.68665972]
 [384.4217732  203.99707603]
 [391.84384979 195.63725838]
 [404.06426609 192.94346058]
 [417.42779049 194.18055841]
 [429.96655524 198.40325928]
 [465.03351343 190.98522753]
 [479.89190865 182.54065213]
 [497.40259773 177.27504075]
 [515.97311276 177.79661405]
 [533.01307207 184.40808621]
 [448.64174324 219.30963972]
 [448.93699962 233.84663463]
 [448.90489084 247.77966636]
 [448.77083111 262.14138925]
 [437.23425066 282.13824534]
 [445.72377419 284.06724441]
 [455.15426424 284.41252494]
 [466.00500551 280.94533181]
 [476.57787108 277.08258402]
 [400.14568554 232.34624338]
 [409.18481854 227.58976871]
 [420.01834577 226.12263894]
 [431.45513484 229.11690801]
 [420.82623166 233.62380356]
 [410.13192002 235.12704182]
 [482.68390071 221.98509857]
 [492.81966603 215.75146013]
 [504.43924046 214.44544369]
 [517.40813375 216.5056138 ]
 [505.87938607 221.73567915]
 [494.32327926 223.37253967]
 [429.31778976 318.27976453]
 [439.20192748 310.05972147]
 [449.94192678 304.39425713]
 [458.70409721 305.41640526]
 [468.38643011 301.75615668]
 [485.47549003 303.53369451]
 [504.47997361 306.62963676]
 [488.00030702 316.8105377 ]
 [472.4712382  322.48934829]
 [461.71449012 324.76941913]
 [452.04427439 325.35340458]
 [441.06834081 323.76758897]
 [434.21851093 318.03533781]
 [450.69517079 313.89604062]
 [459.71306574 313.49991655]
 [469.96267003 311.20172203]
 [499.5416649  307.51839179]
 [470.22655368 311.63946807]
 [460.11639762 313.74338502]
 [451.13379177 314.33149517]]","[1.6130269e-01 9.0398860e-01 1.6389046e-02 7.9833126e-01 9.2374748e-01
 4.0233570e-01 9.1749859e-01 9.1733772e-01 1.2745109e-01 4.3113218e-03
 8.3334874e-03 8.7941597e-05]",4.0
2,0.08,[375.0521  128.68019 571.6328  369.62698],0.9997437596321106,"[[385.54490118 235.66879845]
 [385.82055475 257.3964476 ]
 [388.83309788 280.13537037]
 [394.51182136 303.22896218]
 [402.48067601 324.72423369]
 [414.54458281 343.58932924]
 [430.7749255  358.66334945]
 [450.14299506 369.94589877]
 [474.60769975 372.11908889]
 [501.44066465 367.47662139]
 [528.28334844 356.5441218 ]
 [552.62501305 341.55995899]
 [571.50571817 321.143951  ]
 [581.99925709 295.62880045]
 [585.51091421 267.06023586]
 [585.11101276 238.28225592]
 [583.0731526  209.84903541]
 [386.19566101 202.69902238]
 [394.04601012 194.2540231 ]
 [406.64439258 191.69095415]
 [420.25355071 193.21218017]
 [433.05036885 197.72862694]
 [468.18157488 190.68367827]
 [483.45494545 182.27715197]
 [501.23889869 177.17085445]
 [520.05155742 177.92976877]
 [537.16292924 184.78782648]
 [451.75318146 217.74641451]
 [451.93718359 232.41510171]
 [451.80830228 246.541904  ]
 [451.60280699 261.06339514]
 [440.12324521 281.06137764]
 [448.42601383 282.99943548]
 [457.56289813 283.45038939]
 [468.15270779 280.17568684]
 [478.55971605 276.5807693 ]
 [402.50850129 229.64495531]
 [411.52057973 224.05227512]
 [422.84944919 222.81185877]
 [434.35195208 227.18822208]
 [423.46514401 231.54978102]
 [412.32207425 232.90367395]
 [485.56013155 220.74133155]
 [495.80799997 213.37123075]
 [507.90843385 212.09890309]
 [520.77122182 215.23941284]
 [509.44252187 220.69340807]
 [497.48342162 222.27149245]
 [430.88474336 317.35383624]
 [441.14766335 309.31081498]
 [452.16812035 303.78805292]
 [460.91381913 305.00401664]
 [470.68874606 301.45575827]
 [487.78362542 303.54039061]
 [506.70690721 306.82491094]
 [490.0172196  316.65673155]
 [474.34499294 321.94416356]
 [463.58408552 324.02943158]
 [453.97568649 324.49243522]
 [442.86238438 322.93330127]
 [435.84979907 317.22425568]
 [452.80088681 313.29547715]
 [461.81454033 313.00851548]
 [472.09247658 310.8905592 ]
 [501.70332909 307.68304133]
 [472.22125193 311.08480996]
 [462.10541499 313.01402473]
 [453.16838253 313.48185956]]","[1.7063296e-01 8.9452010e-01 2.4690785e-02 8.1177264e-01 9.3613225e-01
 4.2425591e-01 9.0109581e-01 9.0669835e-01 1.2564161e-01 4.0439847e-03
 9.0675950e-03 8.8937166e-05]",4.0
3,0.12,[375.39444 127.67115 572.1727  369.96774],0.9995885491371155,"[[386.91661796 235.59176773]
 [387.07637936 257.34775424]
 [390.05833551 280.03109002]
 [395.76028264 303.03923184]
 [403.61322039 324.54442   ]
 [415.50406942 343.37229276]
 [431.6527974  358.38273048]
 [451.02645391 369.557482  ]
 [475.58437806 371.91030216]
 [502.53519869 367.69953442]
 [529.62521988 357.26915419]
 [554.13969153 342.49181455]
 [573.09232777 322.08086377]
 [583.67247504 296.51604515]
 [587.30043399 267.82397431]
 [587.05819619 238.90614399]
 [585.02056205 210.37309998]
 [388.25311434 201.72674441]
 [396.42415167 193.65780845]
 [409.01053031 191.37456739]
 [422.5155105  192.96258962]
 [435.24943835 197.42447355]
 [469.84507394 190.53473055]
 [485.20659262 182.31474559]
 [503.06857955 177.33540466]
 [522.02792579 178.04390222]
 [539.44462347 184.62813924]
 [453.82175219 215.57286417]
 [453.8788507  230.40344584]
 [453.62717652 244.75590873]
 [453.31901127 259.4535054 ]
 [441.9705345  279.53867543]
 [450.17283687 281.55158854]
 [459.17196149 282.07008028]
 [469.74421921 278.98378021]
 [480.12345517 275.55949426]
 [404.42628436 226.82649696]
 [413.43606727 220.84301972]
 [424.78149629 219.63931763]
 [436.27380705 224.53145337]
 [425.36957419 228.54210794]
 [414.23482129 229.85725948]
 [487.86137658 218.43716943]
 [498.04950488 210.69825211]
 [510.21078074 209.49942359]
 [523.10399675 213.10926557]
 [511.76929313 218.29924729]
 [499.80652004 219.8005411 ]
 [432.0193184  316.06163287]
 [442.25004455 307.93282259]
 [453.433512   302.40729177]
 [462.25163633 303.82904744]
 [472.14886877 300.3828516 ]
 [489.46192884 302.86262482]
 [508.41395766 306.67846358]
 [491.72124702 316.22141546]
 [475.85684615 321.35566187]
 [464.98081645 323.26305151]
 [455.24541491 323.55433583]
 [444.00534338 321.73947346]
 [436.95323268 315.95006335]
 [454.03455079 312.01495624]
 [463.12725508 311.86177063]
 [473.47862691 309.91186082]
 [503.40296322 307.40839779]
 [473.75564367 310.31067455]
 [463.52718478 312.06008977]
 [454.47425309 312.36934274]]","[1.89733848e-01 8.99320602e-01 2.73470767e-02 8.29607487e-01
 9.46791470e-01 4.21710581e-01 8.90917420e-01 8.80565763e-01
 1.14873916e-01 3.86139983e-03 1.01762721e-02 1.04525796e-04]",4.0
4,0.16,[377.74734  124.470985 575.0968   364.7497  ],0.9993703961372375,"[[389.50237775 233.71162951]
 [389.35879865 255.31198287]
 [392.09063521 277.97958446]
 [397.75358838 300.98384595]
 [405.77278143 322.22655845]
 [417.95581436 340.60963356]
 [434.22087705 355.19373739]
 [453.54010135 366.17412472]
 [477.71499085 368.54510021]
 [504.27388561 364.55939984]
 [531.10231256 354.60787368]
 [555.58471704 340.53443408]
 [574.70310438 320.68541586]
 [585.53801525 295.50319231]
 [589.47446215 267.08873856]
 [589.40062451 238.27783132]
 [587.41269684 209.83047336]
 [391.98178321 198.22955197]
 [400.58957431 190.4930982 ]
 [413.31732473 188.64279509]
 [426.64471692 190.77204984]
 [439.00875491 195.76940387]
 [472.82654911 189.10299295]
 [488.02249813 180.70023429]
 [505.68778062 175.57792372]
 [524.4209497  176.19005617]
 [541.76669466 182.57833114]
 [456.90331709 214.85625595]
 [457.07908046 229.77359378]
 [456.96116012 244.17519593]
 [456.77294862 258.83879757]
 [444.90456617 279.24845695]
 [453.11402768 281.13550866]
 [461.97889221 281.52702546]
 [472.23533022 278.49891627]
 [482.33780861 275.16962612]
 [407.53716761 224.77469349]
 [416.68667233 218.39712179]
 [428.33947158 217.60012925]
 [439.58596522 223.65216279]
 [428.45297301 227.54991764]
 [417.04648364 228.54109395]
 [490.03380418 218.01188934]
 [500.27123308 209.32405782]
 [512.73294103 208.07717347]
 [525.529181   212.30089206]
 [514.27304804 217.92324162]
 [502.05186212 219.50638866]
 [434.07869172 315.4997865 ]
 [444.6879403  307.0577116 ]
 [456.10967243 301.35341716]
 [464.72104901 302.74306846]
 [474.4588787  299.27977824]
 [491.44361365 301.98952734]
 [509.96410763 305.82329667]
 [493.56511581 315.29921198]
 [477.91938138 320.36335325]
 [467.22899652 322.28994107]
 [457.6720584  322.66395247]
 [446.3894971  321.00135016]
 [439.16147327 315.4662652 ]
 [456.45511341 311.13549268]
 [465.39131176 310.90942609]
 [475.53870273 308.9506079 ]
 [505.06855166 306.53535819]
 [475.9933539  309.25011492]
 [466.01093793 310.97361732]
 [457.13895208 311.36060882]]","[1.96979567e-01 8.94600987e-01 2.59977821e-02 8.22738051e-01
 9.42345560e-01 4.47596371e-01 8.94886494e-01 8.69626343e-01
 1.07314087e-01 3.67427105e-03 1.13038905e-02 1.05182175e-04]",4.0
5,0.2,[380.9647   123.542496 576.79614  368.66327 ],0.9993993043899536,"[[392.99067527 232.63853061]
 [392.74680448 254.16404319]
 [395.30517077 276.65327215]
 [400.46519363 299.59159446]
 [407.67710435 321.13030863]
 [419.09910691 339.9849143 ]
 [434.92862034 355.03435206]
 [454.15506506 366.36418962]
 [478.66927934 368.9746027 ]
 [505.68538213 365.27430201]
 [533.00147128 355.40381384]
 [557.70371509 341.19376397]
 [576.80865169 321.20321631]
 [587.47819853 295.93387365]
 [591.33106661 267.49672508]
 [591.41600132 238.83156943]
 [589.66893172 210.52479804]
 [393.82164073 198.07415426]
 [402.17735672 189.87860167]
 [414.92962563 187.71842837]
 [428.46147084 189.61083508]
 [441.13460755 194.43743503]
 [475.24396145 188.06452537]
 [490.76992965 179.93986893]
 [508.72772717 175.21200311]
 [527.70588064 176.2870996 ]
 [544.94972301 183.22603202]
 [459.26108587 212.99500835]
 [459.15526915 227.61304867]
 [458.75325    241.79064667]
 [458.29190457 256.28466797]
 [446.88964462 276.87178421]
 [454.95575547 278.79695225]
 [463.71210504 279.35352921]
 [474.08568859 276.52622175]
 [484.35941267 273.4338696 ]
 [409.75066549 223.29081011]
 [418.72375119 216.70858097]
 [430.44545877 215.80751061]
 [441.9195081  221.91507316]
 [430.7778548  225.81754041]
 [419.29523885 226.90059161]
 [492.80107617 216.60487425]
 [503.06119776 207.96401227]
 [515.58671856 206.85842621]
 [528.37867665 211.40034437]
 [517.16055679 216.76241422]
 [504.89307547 218.18847477]
 [435.69485438 313.58224607]
 [446.22023165 305.25217366]
 [457.67756975 299.63715649]
 [466.47078812 301.19569016]
 [476.46305871 297.82123041]
 [493.83608961 300.73351479]
 [512.7748282  305.0336616 ]
 [495.89822507 314.26291943]
 [479.87061739 319.03805637]
 [468.97762811 320.7839725 ]
 [459.2772696  321.03338909]
 [447.90832663 319.30041432]
 [440.75959647 313.52538848]
 [458.10974085 309.61601448]
 [467.21686459 309.52100801]
 [477.62040317 307.71699643]
 [507.68849373 305.68262863]
 [477.97740185 307.77272868]
 [467.72288585 309.36627436]
 [458.69677925 309.61566281]]","[1.8710388e-01 8.9646292e-01 2.4512790e-02 8.2459354e-01 9.4186682e-01
 4.3733767e-01 8.9520389e-01 8.6727130e-01 1.1232204e-01 3.5994179e-03
 1.0724664e-02 9.9184508e-05]",4.0
6,0.24,[383.3194  125.32758 573.84094 363.87012],0.9996606111526489,"[[395.09710214 231.19672769]
 [394.77622372 252.3791256 ]
 [397.16175072 274.52785093]
 [402.11209384 297.10706669]
 [409.11123168 318.23305136]
 [420.30536839 336.59415972]
 [435.84056687 351.20017779]
 [454.75563189 362.17961526]
 [478.82604474 364.82335258]
 [505.31240582 361.53265798]
 [532.11812341 352.30875993]
 [556.4947961  338.81009555]
 [575.4796986  319.50980854]
 [586.22582579 294.85655677]
 [590.31960022 266.97894681]
 [590.80011594 238.88005173]
 [589.43506038 211.12639254]
 [396.69156764 197.3124392 ]
 [405.02929133 189.06150222]
 [417.64702615 186.74079652]
 [431.10070872 188.43760571]
 [443.71436235 193.07643735]
 [477.40437803 186.82404801]
 [492.82295549 179.07688543]
 [510.60824758 174.72849731]
 [529.33615798 176.12770724]
 [546.25569189 183.28974462]
 [461.53575727 211.57031405]
 [461.30864385 225.90751275]
 [460.79438666 239.79187003]
 [460.22034481 253.95967889]
 [448.56037921 274.84829938]
 [456.60112128 276.63798976]
 [465.28683463 277.16226566]
 [475.61204648 274.53834736]
 [485.80135745 271.66651386]
 [412.1214844  221.83581632]
 [421.19800237 215.09790874]
 [432.95459935 214.24169835]
 [444.31848761 220.67733175]
 [433.19053715 224.4919337 ]
 [421.67567217 225.49637726]
 [494.51337332 215.67864564]
 [504.70712036 206.78933007]
 [517.22621733 205.73467013]
 [529.94724447 210.5740943 ]
 [518.78385317 215.87987286]
 [506.5345515  217.27219322]
 [436.45752263 311.46590662]
 [447.21194869 303.07358849]
 [458.82772416 297.37118381]
 [467.59843272 298.94151366]
 [477.55933356 295.64623284]
 [494.82945395 298.76039892]
 [513.59603328 303.3215856 ]
 [496.96659142 312.46845973]
 [481.03764004 317.22835529]
 [470.15740687 318.92327744]
 [460.40004    319.15557766]
 [448.8353613  317.32130814]
 [441.50544918 311.44356245]
 [459.16171971 307.40813947]
 [468.29560637 307.33986485]
 [478.64535314 305.59326583]
 [508.59050196 303.88884366]
 [479.26776868 305.9273774 ]
 [469.0157043  307.47167772]
 [459.94457105 307.68377674]]","[1.70127094e-01 8.94481063e-01 2.13264003e-02 8.18800569e-01
 9.35179770e-01 4.19153303e-01 8.99455130e-01 8.73954475e-01
 1.18511640e-01 3.85704217e-03 1.05439285e-02 9.65446161e-05]",4.0
7,0.28,[383.9007  124.0698  574.63196 361.9271 ],0.9997664093971252,"[[395.19751194 228.62748134]
 [394.64261341 249.85842752]
 [396.76215875 272.00771677]
 [401.37346435 294.6653657 ]
 [407.94207874 315.9743439 ]
 [418.82385048 334.56545818]
 [434.32934481 349.35186732]
 [453.41172355 360.4552393 ]
 [477.65649188 363.36984205]
 [504.28479421 360.47380137]
 [531.29471588 351.81178141]
 [555.7962482  338.66126168]
 [574.75842583 319.55629039]
 [585.45766819 295.03745723]
 [589.65591955 267.30217505]
 [590.45274544 239.26235276]
 [589.40093088 211.53835315]
 [397.51254517 194.98788166]
 [405.89467737 186.50996763]
 [418.68148181 184.09004974]
 [432.28140879 185.85580516]
 [444.94577754 190.66731799]
 [478.86735904 184.60311848]
 [494.44076467 176.96267086]
 [512.33315516 172.84743476]
 [531.04618418 174.57198757]
 [547.73352015 182.13842335]
 [462.67297375 209.44534171]
 [462.26433384 223.72043002]
 [461.58570755 237.51611221]
 [460.84628838 251.60679984]
 [448.94188869 272.5048213 ]
 [456.95010263 274.32914186]
 [465.64080197 274.92655563]
 [475.97868699 272.45286393]
 [486.16704035 269.72305942]
 [412.88540083 219.61785424]
 [422.07064795 212.81287837]
 [433.94144672 212.03787047]
 [445.37223923 218.69641292]
 [434.14556104 222.4107753 ]
 [422.53022391 223.34962714]
 [495.54433095 214.13780499]
 [505.9047811  205.17928529]
 [518.47879338 204.19188964]
 [531.12318802 209.2822175 ]
 [520.00239182 214.46358728]
 [507.67499197 215.77692974]
 [436.38909805 308.83467484]
 [447.23310131 300.27131903]
 [458.99169135 294.56904578]
 [467.82069463 296.21107686]
 [477.86730307 293.02185404]
 [495.16290355 296.39403808]
 [513.8307749  301.35994244]
 [497.2026484  310.29337454]
 [481.22993875 314.87129855]
 [470.26746857 316.46667767]
 [460.42734611 316.59295189]
 [448.81086427 314.67301059]
 [441.48264068 308.78227878]
 [459.23075694 304.74173653]
 [468.44701397 304.73475862]
 [478.85729659 303.09272754]
 [508.83657503 301.82244527]
 [479.55706227 303.53180158]
 [469.22261822 304.94591939]
 [460.05830485 305.06406415]]","[1.61190286e-01 8.88179779e-01 2.03590523e-02 8.18454921e-01
 9.38101232e-01 3.96009386e-01 8.97993684e-01 8.79592776e-01
 1.20777324e-01 3.93014960e-03 9.64530557e-03 9.99087642e-05]",4.0
8,0.32,[380.31897 115.47643 580.81805 357.466  ],0.9995090961456299,"[[397.08813612 224.63152409]
 [395.81294407 246.04022783]
 [397.47559211 268.55662382]
 [402.21624039 291.5466246 ]
 [409.20798026 312.98487657]
 [420.47942612 331.70311147]
 [436.1768108  346.67377782]
 [455.09041306 358.17316663]
 [479.19019616 361.54853094]
 [506.0208776  358.94291449]
 [533.81227148 350.96762228]
 [559.5554862  338.64435935]
 [579.93230033 319.98454577]
 [592.00038838 295.40036279]
 [597.13657999 267.11174852]
 [598.28883159 238.20247781]
 [597.43765014 209.58711645]
 [400.39023677 188.8223328 ]
 [409.43646908 181.71616358]
 [422.2153019  180.53401899]
 [435.40513808 183.2920092 ]
 [447.52783361 188.82462397]
 [481.5236299  183.27907377]
 [497.25426173 175.51003021]
 [515.41244495 171.04848483]
 [534.45277995 172.35683066]
 [551.94711202 179.21358526]
 [464.56069908 207.54311743]
 [463.85758197 221.67083332]
 [462.88161421 235.29332048]
 [461.86066332 249.21672696]
 [450.2235384  270.45984858]
 [458.08806425 272.37802702]
 [466.59804004 272.88461322]
 [476.87831667 270.58946145]
 [487.16794473 267.99852574]
 [415.02401453 215.59558409]
 [424.48814526 209.20802432]
 [436.35326701 208.83702672]
 [447.48375547 215.76712757]
 [436.04487804 219.19525349]
 [424.4570241  219.75184327]
 [498.3386544  212.01141423]
 [509.07563573 203.21652859]
 [521.8419497  202.4391818 ]
 [534.64436221 207.53199196]
 [523.02810204 212.74808013]
 [510.51430547 213.8804366 ]
 [438.4469105  307.34023136]
 [448.82196555 298.36390495]
 [460.42583615 292.49258447]
 [468.98147738 294.19602472]
 [478.82406819 291.13697153]
 [496.26331156 295.05177414]
 [515.05391592 300.48163807]
 [498.04050028 309.14804566]
 [481.8298139  313.43242377]
 [471.07999769 314.87238634]
 [461.53739968 314.90236551]
 [450.39249623 312.98927218]
 [443.55909866 307.33412635]
 [460.48321602 302.67145336]
 [469.41600296 302.67426884]
 [479.58280548 301.21234262]
 [510.16070354 300.8313328 ]
 [480.29590607 302.03472281]
 [470.25583628 303.21076238]
 [461.38322315 303.31094193]]","[1.72961012e-01 8.89267623e-01 2.20190957e-02 8.14996123e-01
 9.35037434e-01 4.41865057e-01 9.04890835e-01 8.76873910e-01
 1.06545344e-01 3.23519995e-03 1.15978299e-02 9.71825648e-05]",4.0
9,0.36,[385.8755  116.73202 582.16156 357.52658],0.999804675579071,"[[399.19837499 224.10538459]
 [398.17787486 245.29454136]
 [399.98800194 267.52279091]
 [404.64244664 290.21858931]
 [411.56723851 311.39351058]
 [422.88830197 329.9048748 ]
 [438.66731596 344.69928336]
 [457.72918034 356.0836153 ]
 [481.81716669 359.2293787 ]
 [508.47114348 356.33310223]
 [535.77467108 347.87792063]
 [560.85207367 335.21434927]
 [580.56857395 316.42831874]
 [591.99745512 291.91061592]
 [596.56925797 263.90292358]
 [597.1696949  235.50905824]
 [595.89810777 207.47339427]
 [401.52474278 188.77312136]
 [410.28759468 180.94809961]
 [423.16244781 179.19638801]
 [436.57066083 181.60364282]
 [448.87923801 186.9475174 ]
 [482.45228505 181.41208959]
 [497.97207093 173.65406048]
 [515.8719418  169.3374486 ]
 [534.55107951 170.87338412]
 [551.41793442 178.03018153]
 [466.05477953 206.34815705]
 [465.70104432 220.24584186]
 [465.07197464 233.66056776]
 [464.36662126 247.39544463]
 [452.43476427 268.66182756]
 [460.40067101 270.49401474]
 [468.92976606 271.00299001]
 [479.10183012 268.6631217 ]
 [489.23938155 266.05163956]
 [416.65920317 215.18861842]
 [425.88538742 208.55287957]
 [437.74807143 208.05033278]
 [448.91088104 214.99982929]
 [437.63041055 218.64556527]
 [426.0480547  219.34083283]
 [498.8144269  210.96396756]
 [509.29685855 202.02144527]
 [521.99044824 201.16424894]
 [534.62032986 206.32913888]
 [523.30388379 211.63786077]
 [510.88366628 212.85394073]
 [440.13964891 305.01813221]
 [450.80164194 296.41193056]
 [462.49515283 290.71524215]
 [471.08044434 292.41335964]
 [480.935642   289.32723904]
 [498.21752071 293.03695035]
 [516.87543178 298.29256344]
 [500.12122297 307.00930119]
 [484.15535402 311.30905414]
 [473.4177314  312.77757502]
 [463.84836197 312.86129999]
 [452.42975652 310.92743874]
 [445.27506912 305.02029848]
 [462.61678052 300.90417218]
 [471.57965732 300.92393589]
 [481.77325749 299.42911029]
 [511.91014123 298.72265267]
 [482.51405191 299.98965406]
 [472.46321464 301.22983027]
 [463.56182337 301.3417871 ]]","[1.47359252e-01 8.80297542e-01 2.03396510e-02 8.13773751e-01
 9.32708740e-01 3.99977744e-01 8.97723556e-01 8.89803708e-01
 1.17231265e-01 3.30197369e-03 1.01582222e-02 8.99155275e-05]",4.0
